teacher_id,name,country,rating,students,lessons,attendance,response,reviews,price,link
8805140,Johnny,China,5.0,20,25,96,97,2,8.0,https://www.italki.com/en/teacher/8805140
7016168,Ms. Dalia G.,El Salvador,5.0,112,694,99,100,187,8.0,https://www.italki.com/en/teacher/7016168
13547355,Graham Stobbart,United Kingdom,5.0,396,1619,100,100,134,12.0,https://www.italki.com/en/teacher/13547355
8475169,Mohau Vuma,South Africa,4.9,208,555,98,100,88,11.0,https://www.italki.com/en/teacher/8475169
1609937,Richard,South Africa,5.0,22,87,100,98,38,10.0,https://www.italki.com/en/teacher/1609937
7383465,Daniel Tarnai,Hungary,5.0,15,68,100,97,12,5.0,https://www.italki.com/en/teacher/7383465
8563428,Cynthia Bautista,United States,4.9,284,915,100,99,109,10.0,https://www.italki.com/en/teacher/8563428
6616436,Abdelrhman,Egypt,5.0,160,931,98,100,197,5.0,https://www.italki.com/en/teacher/6616436
1421691,Teacher Liz,Philippines,4.8,2579,9490,100,100,1,5.0,https://www.italki.com/en/teacher/1421691
10192337,Shallom,Zimbabwe,5.0,92,883,100,100,33,5.0,https://www.italki.com/en/teacher/10192337
19267449,Manshi,India,5.0,165,977,100,100,51,8.0,https://www.italki.com/en/teacher/19267449
24319452,Storm Lipscher,United States,5.0,3,3,75,100,0,10.0,https://www.italki.com/en/teacher/24319452
1775179,Declan,Ireland,4.9,543,3951,99,99,387,6.0,https://www.italki.com/en/teacher/1775179
7978472,Nak,Argentina,5.0,213,1164,99,98,99,8.0,https://www.italki.com/en/teacher/7978472
11356724,SallyPatt,United Kingdom,5.0,116,962,100,100,40,11.0,https://www.italki.com/en/teacher/11356724
818089,Shraddha Pandey,India,4.9,260,2843,100,99,483,5.0,https://www.italki.com/en/teacher/818089
5579354,Jessie Jane,Australia,5.0,495,5216,100,100,265,15.0,https://www.italki.com/en/teacher/5579354
2026576,Christine,United Kingdom,4.9,485,1953,100,99,169,12.0,https://www.italki.com/en/teacher/2026576
8149092,Daniel,Ireland,5.0,360,2419,99,99,311,18.0,https://www.italki.com/en/teacher/8149092
6792028,Josh IELTS Examiner,United Kingdom,5.0,306,1531,99,98,114,10.0,https://www.italki.com/en/teacher/6792028
13260847,Raazia Sajid,Pakistan,5.0,12,112,98,97,7,5.0,https://www.italki.com/en/teacher/13260847
9080994,"⭐Yuri |Native USA,BR",Brazil,5.0,381,1981,99,100,138,5.0,https://www.italki.com/en/teacher/9080994
4904045,Stefan (IELTS 老师),United Kingdom,5.0,222,937,100,98,87,30.0,https://www.italki.com/en/teacher/4904045
1376361,Evelyn,Colombia,4.9,841,2770,100,99,262,15.0,https://www.italki.com/en/teacher/1376361
4872031,Julia G,Brazil,5.0,539,2596,99,100,175,6.5,https://www.italki.com/en/teacher/4872031
7439636,Linz.H,United Kingdom,5.0,525,3409,100,100,174,11.0,https://www.italki.com/en/teacher/7439636
12819096,Dr. Qasim Alawneh,Jordan,5.0,26,91,97,99,18,14.98,https://www.italki.com/en/teacher/12819096
5215390,OKSANA,Ukraine,5.0,232,1641,100,100,148,10.0,https://www.italki.com/en/teacher/5215390
8250850,Kelly Taylor,United States,5.0,36,207,99,100,9,10.0,https://www.italki.com/en/teacher/8250850
2099255,Giovanni,Italy,5.0,343,4065,100,99,539,20.0,https://www.italki.com/en/teacher/2099255
8763090,Valerie - IELTS,United Kingdom,5.0,183,851,100,100,102,10.0,https://www.italki.com/en/teacher/8763090
5675280,Eduardo,Dominican Republic,5.0,64,410,99,100,44,8.0,https://www.italki.com/en/teacher/5675280
8020137,Laëtitia,France,5.0,145,2978,100,100,129,32.0,https://www.italki.com/en/teacher/8020137
24691106,Anu 아노,Mongolia,5.0,7,9,100,100,4,6.0,https://www.italki.com/en/teacher/24691106
11412254,Gugu,South Africa,4.5,15,18,90,95,4,5.0,https://www.italki.com/en/teacher/11412254
9092879,Louis,United Kingdom,5.0,359,2317,100,99,90,18.0,https://www.italki.com/en/teacher/9092879
9462336,Maria Kim,Republic of Korea,5.0,63,903,100,99,61,15.0,https://www.italki.com/en/teacher/9462336
7438988,Tutor Queen.,Nigeria,4.8,129,334,98,98,65,10.0,https://www.italki.com/en/teacher/7438988
7164308,Julien,Canada,5.0,707,6742,100,100,176,13.5,https://www.italki.com/en/teacher/7164308
8755100,Deborah Lopez,Philippines,4.9,248,687,99,99,78,7.0,https://www.italki.com/en/teacher/8755100
6976505,Ahmad Anwari,Afghanistan,5.0,346,2843,100,100,117,5.0,https://www.italki.com/en/teacher/6976505
11120374,Kamate Mirabel,Cameroon,4.9,125,570,99,100,32,6.0,https://www.italki.com/en/teacher/11120374
3941812,Jean-François,France,5.0,835,13500,100,100,1,19.0,https://www.italki.com/en/teacher/3941812
5047573,Arina,Kazakhstan,5.0,421,2664,100,100,251,15.0,https://www.italki.com/en/teacher/5047573
9304402,Alexandra,South Africa,5.0,38,108,86,91,6,7.0,https://www.italki.com/en/teacher/9304402
3919132,Zsolt,Hungary,5.0,202,1426,100,99,301,12.0,https://www.italki.com/en/teacher/3919132
8881973,Himangi Sharma,India,4.9,74,326,99,100,23,5.0,https://www.italki.com/en/teacher/8881973
10727421,Princess Khoza,South Africa,5.0,26,79,92,96,1,5.0,https://www.italki.com/en/teacher/10727421
10111821,A.J. Hannigan,United States,5.0,398,3591,100,100,120,8.0,https://www.italki.com/en/teacher/10111821
1701026,George,Serbia,5.0,76,3006,100,100,45,6.0,https://www.italki.com/en/teacher/1701026
6755108,Nazish Qasim,Pakistan,5.0,496,3146,100,100,379,5.0,https://www.italki.com/en/teacher/6755108
11107967,Makhosi Nonhle,South Africa,4.9,239,454,97,99,52,5.0,https://www.italki.com/en/teacher/11107967
