teachers_languages_id,teacher_id,language_id
1,8805140,eng
2,7016168,eng
3,13547355,eng
4,8475169,eng
5,1609937,eng
6,7383465,eng
7,8563428,eng
8,6616436,eng
9,1421691,eng
10,10192337,eng
11,19267449,eng
12,24319452,eng
13,1775179,eng
14,7978472,eng
15,11356724,eng
16,818089,eng
17,5579354,eng
18,2026576,eng
19,8149092,eng
20,6792028,eng
21,13260847,eng
22,9080994,eng
23,4904045,eng
24,1376361,eng
25,4872031,eng
26,7439636,eng
27,12819096,eng
28,5215390,eng
29,8250850,eng
30,2099255,eng
31,8763090,eng
32,5675280,eng
33,8020137,eng
34,24691106,eng
35,11412254,eng
36,9092879,eng
37,9462336,eng
38,7438988,eng
39,7164308,eng
40,8755100,eng
41,6976505,eng
42,11120374,eng
43,3941812,eng
44,5047573,eng
45,9304402,eng
46,3919132,eng
47,8881973,eng
48,10727421,eng
49,10111821,eng
50,1701026,eng
51,6755108,eng
52,11107967,eng
53,3319743,eng
54,10497467,eng
55,9390085,eng
56,25419716,eng
57,24934068,eng
58,7842640,eng
59,6036107,eng
60,8572610,eng
61,6039523,eng
62,5582725,eng
63,5015283,eng
64,9973654,eng
65,5454801,eng
66,25618270,eng
67,4468629,eng
68,7672359,eng
69,23421746,eng
70,5613432,eng
71,1227745,eng
72,3323152,eng
73,4789668,eng
74,5354189,eng
75,10906683,eng
76,5526390,eng
77,18602495,eng
78,3977202,eng
79,10505160,eng
80,5315254,eng
81,6436926,eng
82,7049408,eng
83,10080220,eng
84,5228713,eng
85,5223456,eng
86,2930547,eng
87,10832648,eng
88,10328538,eng
89,11018644,eng
90,10492094,eng
91,4530463,eng
92,13718495,eng
93,7481562,eng
94,8191576,eng
95,7600310,eng
96,9805835,eng
97,13189762,eng
98,3666433,eng
99,792488,eng
100,9404832,eng
101,10583287,eng
102,4119769,eng
103,9937877,eng
104,6515070,eng
105,7841225,eng
106,6362444,eng
107,3398895,eng
108,8879143,eng
109,11115905,eng
110,7903207,eng
111,5962522,eng
112,11249768,eng
113,6252332,eng
114,1504271,eng
115,4846990,eng
116,13187522,eng
117,1837438,eng
118,23006632,eng
119,12650257,eng
120,19675103,eng
121,3511385,eng
122,13639396,eng
123,7632133,eng
124,7462090,eng
125,24695200,eng
126,3382878,eng
127,23799641,eng
128,3690833,eng
129,3176743,eng
130,7850416,eng
131,6570102,eng
132,6921357,eng
133,8240338,eng
134,6619965,eng
135,6190101,eng
136,11137135,eng
137,8452782,eng
138,23000341,eng
139,1637166,eng
140,5668477,eng
141,19689869,eng
142,4193324,eng
143,7075885,eng
144,6177230,eng
145,6350078,eng
146,7653954,eng
147,12948323,eng
148,10120260,eng
149,6975666,eng
150,11345440,eng
151,11525033,eng
152,5016562,eng
153,652005,eng
154,6430140,eng
155,16113473,eng
156,12125161,eng
157,1740507,eng
158,8071608,eng
159,6797751,eng
160,6642010,eng
161,5599778,eng
162,8281762,eng
163,20546820,eng
164,6008592,eng
165,6083517,eng
166,4957710,eng
167,6686166,eng
168,7510861,eng
169,6490911,eng
170,3184497,eng
171,22645230,eng
172,5224728,eng
173,9192980,eng
174,8530036,eng
175,11360411,eng
